Date,Activity,Group,Duration,Distance,Steps,Calories
4/18/14,car,transport,2748,8.780,0,0
4/19/14,walking,walking,8996,5.709,13235,598
4/20/14,walking,walking,9200,5.784,12941,606
4/20/14,transport,transport,691,3.026,0,0
4/20/14,bus,transport,510,1.438,0,0
4/21/14,walking,walking,3405,2.011,5035,211
4/21/14,transport,transport,8376,474.616,0,0
4/22/14,walking,walking,9091,6.620,14549,694
4/23/14,walking,walking,5157,3.295,8050,345
4/24/14,walking,walking,3982,2.536,5938,266
4/25/14,walking,walking,7538,5.601,12053,587
4/25/14,transport,transport,1201,4.624,0,0
4/26/14,walking,walking,4910,3.009,7453,315
4/26/14,transport,transport,4833,224.393,0,0
4/26/14,airplane,transport,25299,3007.637,0,0
4/27/14,transport,transport,23725,303.590,0,0
4/27/14,walking,walking,8239,6.239,13626,654
4/28/14,walking,walking,6547,4.317,10074,452
4/28/14,transport,transport,5218,32.925,0,0
4/29/14,transport,transport,12184,121.367,0,0
4/29/14,walking,walking,4835,3.203,7518,336
4/30/14,walking,walking,4859,3.377,7438,354
4/30/14,transport,transport,16640,2169.984,0,0
4/30/14,airplane,transport,5562,1005.152,0,0
5/1/14,walking,walking,6736,5.280,11049,553
5/1/14,transport,transport,714,4.049,0,0
5/2/14,walking,walking,5301,3.882,8448,407
5/3/14,walking,walking,3192,2.202,4684,231
5/3/14,transport,transport,1673,6.198,0,0
5/4/14,walking,walking,5825,4.788,10562,502
5/4/14,running,running,180,0.216,426,28
5/5/14,walking,walking,3923,2.536,6176,266
5/6/14,walking,walking,3585,2.319,5554,243
5/7/14,walking,walking,3132,2.353,5353,247
5/8/14,walking,walking,3860,2.480,5531,260
5/8/14,transport,transport,6141,57.666,0,0
5/9/14,walking,walking,3464,2.245,5916,235
5/10/14,walking,walking,3154,2.417,5369,253
5/11/14,walking,walking,5912,4.142,9782,434
5/11/14,transport,transport,436,0.255,0,0
5/12/14,walking,walking,5777,3.870,9418,405
5/13/14,walking,walking,3816,2.616,5946,274
5/13/14,transport,transport,8207,63.031,0,0
5/14/14,walking,walking,4108,2.972,6068,311
5/15/14,walking,walking,8697,5.930,15128,621
5/15/14,transport,transport,456,0.441,0,0
5/16/14,walking,walking,5673,3.735,8953,391
5/16/14,transport,transport,6969,57.691,0,0
5/17/14,walking,walking,5443,3.616,8704,379
5/18/14,walking,walking,5335,3.622,8334,379
5/19/14,walking,walking,2805,1.625,3928,170
5/20/14,walking,walking,5167,4.248,7192,445
5/21/14,walking,walking,4126,2.633,6580,276
5/21/14,transport,transport,30423,506.859,0,0
5/22/14,walking,walking,6325,4.786,8751,501
5/23/14,walking,walking,2585,1.698,4017,178
5/23/14,transport,transport,3397,9.144,0,0
5/24/14,transport,transport,784,3.324,0,0
5/24/14,walking,walking,11304,7.820,18077,819
5/25/14,walking,walking,7857,5.752,12843,603
5/26/14,walking,walking,4257,3.004,7076,315
5/27/14,walking,walking,724,0.420,1049,44
5/28/14,walking,walking,2540,1.552,3651,163
5/28/14,transport,transport,31640,500.039,0,0
5/29/14,walking,walking,4112,2.963,7068,310
5/30/14,walking,walking,2436,1.583,3175,166
5/31/14,walking,walking,2357,1.710,3781,179
5/31/14,running,running,1679,2.273,4080,294
6/1/14,walking,walking,12137,8.825,19502,925
6/1/14,transport,transport,1508,2.570,0,0
6/2/14,walking,walking,3739,2.873,5712,301
6/2/14,running,running,1021,1.649,2485,210
6/3/14,walking,walking,6417,4.318,10797,452
6/4/14,walking,walking,6661,5.164,8980,541
6/4/14,transport,transport,2414,6.153,0,0
6/5/14,walking,walking,4677,3.250,7565,341
6/6/14,walking,walking,5089,3.915,8249,410
6/7/14,walking,walking,10660,7.772,16917,814
6/7/14,transport,transport,764,3.139,0,0
6/8/14,walking,walking,2758,1.637,3644,172
6/8/14,transport,transport,3318,29.528,0,0
6/9/14,walking,walking,3060,2.163,5136,227
6/10/14,walking,walking,8966,6.594,13647,691
6/11/14,walking,walking,5275,3.585,8542,376
6/12/14,walking,walking,7848,5.490,12820,575
6/12/14,transport,transport,7809,101.255,0,0
6/13/14,transport,transport,31465,417.428,0,0
6/13/14,walking,walking,3006,1.651,3752,173
6/14/14,walking,walking,3049,2.190,4831,229
6/15/14,walking,walking,8059,5.377,13975,563
6/16/14,walking,walking,3819,2.397,4983,251
6/16/14,car,transport,948,1.230,0,0
6/16/14,transport,transport,632,2.010,0,0
6/17/14,walking,walking,6503,5.087,9194,533
6/17/14,transport,transport,2485,4.991,0,0
6/18/14,walking,walking,3897,2.694,6055,282
6/18/14,transport,transport,30584,285.834,0,0
6/19/14,transport,transport,50993,572.996,0,0
6/19/14,walking,walking,2091,1.242,2693,130
6/20/14,walking,walking,4547,2.802,6822,294
6/20/14,transport,transport,14427,119.299,0,0
6/21/14,walking,walking,3388,1.912,4644,200
6/21/14,transport,transport,1311,6.283,0,0
6/21/14,car,transport,5694,44.382,0,0
6/21/14,airplane,transport,6483,718.399,0,0
6/22/14,airplane,transport,49893,2451.386,0,0
6/22/14,walking,walking,5891,3.621,8463,379
6/22/14,transport,transport,4733,93.784,0,0
6/23/14,transport,transport,1776,8.670,0,0
6/23/14,walking,walking,2485,1.553,4171,163
6/24/14,walking,walking,4835,3.849,8220,403
6/24/14,transport,transport,588,2.921,0,0
6/25/14,walking,walking,10666,7.073,14114,741
6/25/14,transport,transport,1893,5.047,0,0
6/26/14,transport,transport,1725,6.660,0,0
6/26/14,walking,walking,13228,8.461,19580,886
6/27/14,transport,transport,9930,65.329,0,0
6/27/14,walking,walking,5000,3.262,7447,342
6/28/14,walking,walking,3030,1.810,4098,190
6/28/14,transport,transport,22936,2599.335,0,0
6/29/14,walking,walking,4994,3.539,7798,371
6/29/14,transport,transport,1708,32.592,0,0
6/30/14,walking,walking,5785,3.968,8547,416
7/1/14,walking,walking,5112,3.564,6596,373
7/2/14,walking,walking,6650,4.383,8447,459
7/2/14,transport,transport,15224,1050.990,0,0
7/3/14,walking,walking,7293,6.919,12124,725
7/3/14,transport,transport,2615,16.233,0,0
7/4/14,walking,walking,1824,1.082,2573,113
7/4/14,transport,transport,654,5.999,0,0
7/5/14,walking,walking,6249,6.122,11705,641
7/5/14,transport,transport,3724,18.409,0,0
7/5/14,running,running,150,0.280,375,35
7/6/14,walking,walking,3649,2.006,4885,210
7/6/14,transport,transport,5841,68.506,0,0
7/7/14,walking,walking,4092,2.360,5539,247
7/7/14,transport,transport,17692,1067.197,0,0
7/8/14,walking,walking,7302,5.055,11383,530
7/9/14,walking,walking,7406,4.875,11927,511
7/9/14,transport,transport,451,1.130,0,0
7/10/14,walking,walking,4382,2.579,5476,270
7/10/14,transport,transport,6936,472.032,0,0
7/11/14,walking,walking,4066,2.488,5925,261
7/11/14,car,transport,941,4.275,0,0
7/12/14,walking,walking,1851,1.213,2893,127
7/13/14,walking,walking,7070,4.646,11118,487
7/13/14,bus,transport,850,1.273,0,0
7/14/14,walking,walking,6980,5.292,10985,554
7/14/14,bus,transport,2080,3.390,0,0
7/15/14,walking,walking,4726,2.676,6711,280
7/15/14,transport,transport,3611,6.433,0,0
7/16/14,walking,walking,4710,3.130,6646,328
7/16/14,bus,transport,3192,6.404,0,0
7/17/14,walking,walking,5895,4.082,8395,428
7/17/14,transport,transport,1711,3.153,0,0
7/18/14,walking,walking,6907,4.720,10234,495
7/18/14,car,transport,848,3.680,0,0
7/18/14,bus,transport,2173,4.764,0,0
7/18/14,underground,transport,420,1.099,0,0
7/19/14,walking,walking,5254,3.506,8888,367
7/19/14,car,transport,731,1.662,0,0
7/20/14,walking,walking,6310,4.074,8172,427
7/21/14,walking,walking,6485,4.194,9401,439
7/21/14,bus,transport,1681,3.084,0,0
7/21/14,underground,transport,1562,4.982,0,0
