Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
9/27/14,walking,walking,2014-09-27T17:01:27-05:00,2014-09-27T17:08:27-05:00,420,0.242,519,25
9/27/14,walking,walking,2014-09-27T17:13:48-05:00,2014-09-27T17:33:31-05:00,1183,0.872,1683,91
9/27/14,walking,walking,2014-09-27T17:36:59-05:00,2014-09-27T17:37:29-05:00,30,0.012,41,1
9/27/14,walking,walking,2014-09-27T19:24:59-05:00,2014-09-27T19:25:29-05:00,30,0.016,51,2
9/27/14,walking,walking,2014-09-27T21:42:14-05:00,2014-09-27T21:42:44-05:00,30,0.009,30,1
9/28/14,walking,walking,2014-09-28T08:33:08-05:00,2014-09-28T08:35:38-05:00,150,0.085,183,9
9/28/14,walking,walking,2014-09-28T09:02:10-05:00,2014-09-28T09:02:40-05:00,30,0.016,51,2
9/28/14,walking,walking,2014-09-28T14:54:41-05:00,2014-09-28T14:55:11-05:00,30,0.016,51,2
9/28/14,walking,walking,2014-09-28T17:25:33-05:00,2014-09-28T17:33:33-05:00,480,0.284,610,30
9/28/14,walking,walking,2014-09-28T21:56:18-05:00,2014-09-28T21:56:48-05:00,30,0.009,20,1
9/28/14,walking,walking,2014-09-28T22:21:27-05:00,2014-09-28T22:21:57-05:00,30,0.009,20,1
